id,name,jenis,rayon_code,korlap,gps_lat,gps_lng
1f36ff44-c099-5929-b6e0-e0d2d41494ea,Jl. manukan kulon Boxculvert,street,BARAT2,,-7.25751148,112.67066559
c97b186a-b247-5970-bd82-9bbe466367ff,Jl. manukan tama pulau 1,street,BARAT2,,-7.26117474,112.66743048
8ad914cd-ef94-5786-982c-db5ce92cb881,Jl. manukan tama pulau 2,street,BARAT2,,-7.26286661,112.66723187
74376a8a-63db-5f0d-bad6-d5a8d883e73d,Jl. manukan tama pulau 3,street,BARAT2,,-7.26352226,112.66713931
e6bbde06-8c36-582e-b5c1-042ba6f5c716,Jl. manukan tama pulau 4,street,BARAT2,,-7.26405497,112.66702966
f369804f-fd08-59f3-b4f2-302fd0045511,Jl. manukan tama pulau 5,street,BARAT2,,-7.26449203,112.66693402
26b27630-27c8-5588-a463-98f8af637985,Jl. manukan tama pulau 6,street,BARAT2,,-7.26524709,112.66675771
46d6d0b0-c663-5463-8a5b-246700388cea,Jl. manukan tama pulau 8,street,BARAT2,,-7.26799860,112.66616491
5b0c9f14-d8a8-5b15-8a07-fe0a5d17ae76,Jl. Raya Balongsari - Jalur Tepi Depan Spbu Balongsari S.D Kantor Kec. Tandes,street,BARAT2,,-7.25863111,112.67852773
ef39cd60-4219-5154-8749-ab148d1a808b,Jl. Raya Balongsari - Jalur Tepi Depan Spbu Balongsari S.D Kantor Kec. Tandes,street,BARAT2,,-7.25863111,112.67852773
7697dbd1-4c68-5b32-9823-ac842dd7442d,Jl. raya bibis,street,BARAT2,,-7.25844988,112.67779318
5f10248f-94b7-5e4e-88a7-c0d43ff239a3,Jl. sumberejo,street,BARAT2,,-7.22605490,112.60531844
d20af8a8-4f5f-5892-92f9-128b70e903e2,Pondok Benowo Indah,street,BARAT2,,-7.23791014,112.62997557
fdbd3d80-a26c-5361-84bf-a4f4296da520,rotonde greges,street,BARAT2,,-7.22975985,112.68278314
4940da14-2b0e-5051-b670-20fd3f3e033f,rotonde putar balik 1,street,BARAT2,,-7.23557550,112.68258110
5489b42c-db37-5585-84f8-ea244c67dab1,rotonde putar balik 2,street,BARAT2,,-7.24360055,112.68233536
7fb0d35f-a898-50cb-bc53-09a0a4c43282,rotonde putar balik 3,street,BARAT2,,-7.25201105,112.68200602
57edcd4f-21ee-5ef6-bd98-dceec6d4785c,rotonde sisi barat,street,BARAT2,,-7.25833346,112.67963087
21b509e8-18ac-522f-8e38-e93d9debdc9c,rotonde sisi timur,street,BARAT2,,-7.25850133,112.68091875
f9ab1f12-6fdb-58dd-83a7-b5da1449a141,segitiga romokalisari,street,BARAT2,,-7.19685723,112.64599408
51bd02aa-4cf7-51e8-958a-1197132b7bc9,segitiga taman gendong,street,BARAT2,,-7.19589511,112.62895350
ef152c2c-fdd8-56b8-9267-ce965111b2df,sekitaran GBT lapangan skate bord,street,BARAT2,,-7.22477363,112.62140926
723d4167-8767-5104-8d89-145a730e1793,Taman Fasum Darmo indah,park,BARAT2,,-7.26179170,112.68208000
c186271e-1b04-51b2-a6d8-4bc64f68476a,Air Mancur Pemuda,street,PUSAT,,-7.26443130,112.74562839
104f946f-d772-576d-acc0-662f9f88fb68,Depan Grand City,street,PUSAT,,-7.26207432,112.74925881
64e83f99-1576-571e-b85d-b92495715e46,Jl. Ahmad Jaiz,street,PUSAT,,-7.25364327,112.73785415
